text,author
"Did she say so?""",Charles Dickens
"“Est etiam in magnis Heliconis montibus arbos,     Floris odore hominem retro consueta necare”.—Lib.",Jonathan Swift
"A clog-dance of iron hoofs follows, and an Englishman’s voice is heard soothing an agitated horse who seems to be standing on his hind legs.",Rudyard Kipling
"The central square, the patio or whatever it must be called, reeks with the faint, sour smell which finds its way impartially into every room.",Rudyard Kipling
The living dead are here the people whose names are not yet altogether perished and whose tombstones are tended.,Rudyard Kipling
CASSIUS.,William Shakespeare
A TALE OF A TUB.,Jonathan Swift
"By your leave, gods.",William Shakespeare
VOLUMNIUS.,William Shakespeare
How little we pay our way in life!,Robert Louis Stevenson
The same.,William Shakespeare
“About three weeks ago”.,Rudyard Kipling
"(I suppose you mean [** sqrt]741, which would be a little nearer the truth.",Lewis Caroll
"It did aliquo modo essentiæ adhærere, and therefore required a positive precept.",Jonathan Swift
"However, we may as well see them.",Lewis Caroll
Give him a statue with his ancestors.,William Shakespeare
"“Hip, hip, hip ”  “Hurrah!",Mark_Twain
Now try the other method.,Lewis Caroll
"The Agreement we had entered into of admiring each others productions she no longer seemed to regard, and tho’ I constantly applauded even every Country-dance, she played, yet not even a pidgeon-pye of my making could obtain from her a single word of approbation.",Jane Austen
He is passed and falls back.,Rudyard Kipling
Very well.,Mark_Twain
"Her life is a matter between herself and her Maker, but in that she the widow of a soldier of the Queen has stooped to this common foulness in the face of the city, she has offended against the white race.",Rudyard Kipling
"Birds sang sweetly, flowers raised their drooping heads, fresh scents arose from the invigorated ground; the blue expanse above, extended and diffused itself; already the sun's slanting rays pierced mortally the sullen bank of cloud that lingered in its flight; and a rainbow, spirit of all the colors that adorned the earth and sky, spanned the whole arch with its triumphant glory.",Charles Dickens
said Clemency.,Charles Dickens
"""If Balbus says it's the same bulk, why, it is the same bulk, you know"".",Lewis Caroll
"‘Well, for my own part,’ said the Woodpecker, who was a born philosopher, ‘I don’t care an atomic theory for explanations.",Oscar Wilde
it is too thin”.,Mark_Twain
"Roar after roar burst out, stronger and stronger, nearer and nearer; and at last, when we closed up upon the multitude massed in the open area in front of the tavern, the crash of sound was deafening.",Mark_Twain
"Thus a mile, and the mouth of the gorge was reached; before them stretched the sagebrush plain, dim, vast, and vague.",Mark_Twain
Come through the huts.,Rudyard Kipling
"Sirrah, give place.",William Shakespeare
"Briefly, I dwell by the Capitol.",William Shakespeare
"The authors of the 26 ""accidental"" solutions differ only in the number of steps they have taken between the data and the answers.",Lewis Caroll
The geographers seem to have given up the attempt; for I found no map represent the infinite contortion of its course.,Robert Louis Stevenson
CONCERNING LUCIA.,Rudyard Kipling
"Again, if we take this definition of happiness and examine it with reference to the senses, it will be acknowledged wonderfully adapt.",Jonathan Swift
"The same spirits which in their superior progress would conquer a kingdom descending upon the anus, conclude in a fistula.",Jonathan Swift
SERVANT.,William Shakespeare
A young officer on horseback had hard ado to keep his countenance at the words.,Robert Louis Stevenson
"He wore a large plaister of artificial caustics on his stomach, with the fervour of which he could set himself a groaning like the famous board upon application of a red-hot iron.",Jonathan Swift
"There is so often a threatening note, something blatant and metallic, in the voice of bells, that I believe we have fully more pain than pleasure from hearing them; but these, as they sounded abroad, now high, now low, now with a plaintive cadence that caught the ear like the burthen of a popular song, were always moderate and tunable, and seemed to fall in with the spirit of still, rustic places, like the noise of a waterfall or the babble of a rookery in spring.",Robert Louis Stevenson
"We trudged in and out of La Fère streets; we saw shops, and private houses where people were copiously dining; we saw stables where carters’ nags had plenty of fodder and clean straw; we saw no end of reservists, who were very sorry for themselves this wet night, I doubt not, and yearned for their country homes; but had they not each man his place in La Fère barracks?",Robert Louis Stevenson
"I beg to thank G. B. for the offer of a puzzle which, however, is too like the old one ""Make four 9's into 100"".",Lewis Caroll
I wonder if other people would make the same allowances for me!,Robert Louis Stevenson
"And lucky for him, too.",Mark_Twain
"“'Very good, very good, very good, indeed.'",Mark_Twain
KNOT VII.,Lewis Caroll
